Entity,Code,Year,Democracy index,World region according to OWID,time,time
Afghanistan,AFG,2024,0.25,Asia,2023,2024
Albania,ALB,2024,6.2,Europe,2023,2024
Algeria,DZA,2024,3.55,Africa,2023,2024
Angola,AGO,2024,4.05,Africa,2023,2024
Argentina,ARG,2024,6.51,South America,2023,2024
Armenia,ARM,2024,5.35,Asia,2023,2024
Australia,AUS,2024,8.85,Oceania,2023,2024
Austria,AUT,2024,8.28,Europe,2023,2024
Azerbaijan,AZE,2024,2.8,Asia,2023,2024
Bahrain,BHR,2024,2.45,Asia,2023,2024
Bangladesh,BGD,2024,4.44,Asia,2023,2024
Belarus,BLR,2024,1.99,Europe,2023,2024
Belgium,BEL,2024,7.64,Europe,2023,2024
Benin,BEN,2024,4.44,Africa,2023,2024
Bhutan,BTN,2024,5.65,Asia,2023,2024
Bolivia,BOL,2024,4.26,South America,2023,2024
Bosnia and Herzegovina,BIH,2024,5.06,Europe,2023,2024
Botswana,BWA,2024,7.63,Africa,2023,2024
Brazil,BRA,2024,6.49,South America,2023,2024
Bulgaria,BGR,2024,6.34,Europe,2023,2024
Burkina Faso,BFA,2024,2.55,Africa,2023,2024
Burundi,BDI,2024,2.13,Africa,2023,2024
Cambodia,KHM,2024,2.94,Asia,2023,2024
Cameroon,CMR,2024,2.56,Africa,2023,2024
Canada,CAN,2024,8.69,North America,2023,2024
Cape Verde,CPV,2024,7.58,Africa,2023,2024
Central African Republic,CAF,2024,1.18,Africa,2023,2024
Chad,TCD,2024,1.89,Africa,2023,2024
Chile,CHL,2024,7.83,South America,2023,2024
China,CHN,2024,2.11,Asia,2023,2024
Colombia,COL,2024,6.35,South America,2023,2024
Comoros,COM,2024,2.84,Africa,2023,2024
Congo,COG,2024,2.79,Africa,2023,2024
Costa Rica,CRI,2024,8.29,North America,2023,2024
Cote d'Ivoire,CIV,2024,4.22,Africa,2023,2024
Croatia,HRV,2024,6.5,Europe,2023,2024
Cuba,CUB,2024,2.58,North America,2023,2024
Cyprus,CYP,2024,7.38,Europe,2023,2024
Czechia,CZE,2024,8.08,Europe,2023,2024
Democratic Republic of Congo,COD,2024,1.92,Africa,2023,2024
Denmark,DNK,2024,9.28,Europe,2023,2024
Djibouti,DJI,2024,2.7,Africa,2023,2024
Dominican Republic,DOM,2024,6.62,North America,2023,2024
East Timor,TLS,2024,7.03,Asia,2023,2024
Ecuador,ECU,2024,5.24,South America,2023,2024
Egypt,EGY,2024,2.79,Africa,2023,2024
El Salvador,SLV,2024,4.61,North America,2023,2024
Equatorial Guinea,GNQ,2024,1.92,Africa,2023,2024
Eritrea,ERI,2024,1.97,Africa,2023,2024
Estonia,EST,2024,8.13,Europe,2023,2024
Eswatini,SWZ,2024,2.6,Africa,2023,2024
Ethiopia,ETH,2024,3.24,Africa,2023,2024
Fiji,FJI,2024,5.39,Oceania,2023,2024
Finland,FIN,2024,9.3,Europe,2023,2024
France,FRA,2024,7.99,Europe,2023,2024
Gabon,GAB,2024,2.18,Africa,2023,2024
Gambia,GMB,2024,4.47,Africa,2023,2024
Georgia,GEO,2024,4.7,Asia,2023,2024
Germany,DEU,2024,8.73,Europe,2023,2024
Ghana,GHA,2024,6.24,Africa,2023,2024
Greece,GRC,2024,8.07,Europe,2023,2024
Guatemala,GTM,2024,4.55,North America,2023,2024
Guinea,GIN,2024,2.04,Africa,2023,2024
Guinea-Bissau,GNB,2024,2.03,Africa,2023,2024
Guyana,GUY,2024,6.11,South America,2023,2024
Haiti,HTI,2024,2.74,North America,2023,2024
Honduras,HND,2024,4.98,North America,2023,2024
Hungary,HUN,2024,6.51,Europe,2023,2024
Iceland,ISL,2024,9.38,Europe,2023,2024
India,IND,2024,7.29,Asia,2023,2024
Indonesia,IDN,2024,6.44,Asia,2023,2024
Iran,IRN,2024,1.96,Asia,2023,2024
Iraq,IRQ,2024,2.8,Asia,2023,2024
Ireland,IRL,2024,9.19,Europe,2023,2024
Israel,ISR,2024,7.8,Asia,2023,2024
Italy,ITA,2024,7.58,Europe,2023,2024
Jamaica,JAM,2024,6.74,North America,2023,2024
Japan,JPN,2024,8.48,Asia,2023,2024
Jordan,JOR,2024,3.28,Asia,2023,2024
Kazakhstan,KAZ,2024,3.08,Asia,2023,2024
Kenya,KEN,2024,5.05,Africa,2023,2024
Kuwait,KWT,2024,2.78,Asia,2023,2024
Kyrgyzstan,KGZ,2024,3.52,Asia,2023,2024
Laos,LAO,2024,1.71,Asia,2023,2024
Latvia,LVA,2024,7.66,Europe,2023,2024
Lebanon,LBN,2024,3.56,Asia,2023,2024
Lesotho,LSO,2024,6.06,Africa,2023,2024
Liberia,LBR,2024,5.57,Africa,2023,2024
Libya,LBY,2024,2.31,Africa,2023,2024
Lithuania,LTU,2024,7.59,Europe,2023,2024
Luxembourg,LUX,2024,8.88,Europe,2023,2024
