Entity,Code,Year,Average years of schooling,time
Afghanistan,AFG,2023,2.51479,2023
Albania,ALB,2023,10.175311,2023
Algeria,DZA,2023,7.416387,2023
Andorra,AND,2023,11.61,2023
Angola,AGO,2023,5.956173,2023
Antigua and Barbuda,ATG,2023,11.6475,2023
Argentina,ARG,2023,11.184582,2023
Armenia,ARM,2023,11.344978,2023
Australia,AUS,2023,12.87,2023
Austria,AUT,2023,12.361465,2023
Azerbaijan,AZE,2023,11.07,2023
Bahamas,BHS,2023,12.814419,2023
Bahrain,BHR,2023,11.13,2023
Bangladesh,BGD,2023,6.79,2023
Barbados,BRB,2023,9.928357,2023
Belarus,BLR,2023,12.335373,2023
Belgium,BEL,2023,12.689651,2023
Belize,BLZ,2023,8.76229,2023
Benin,BEN,2023,3.1942,2023
Bhutan,BTN,2023,5.8357944,2023
Bolivia,BOL,2023,10.021223,2023
Bosnia and Herzegovina,BIH,2023,10.97,2023
Botswana,BWA,2023,10.478,2023
Brazil,BRA,2023,8.425372,2023
Brunei,BRN,2023,9.282,2023
Bulgaria,BGR,2023,11.454531,2023
Burkina Faso,BFA,2023,2.26655,2023
Burundi,BDI,2023,3.4739356,2023
Cambodia,KHM,2023,5.1971,2023
Cameroon,CMR,2023,6.5741806,2023
Canada,CAN,2023,13.87,2023
Cape Verde,CPV,2023,6.0900393,2023
Central African Republic,CAF,2023,3.9894314,2023
Chad,TCD,2023,2.3349848,2023
Chile,CHL,2023,11.291054,2023
China,CHN,2023,8.036181,2023
Colombia,COL,2023,9.031582,2023
Comoros,COM,2023,6.00684,2023
Congo,COG,2023,8.322645,2023
Costa Rica,CRI,2023,8.844752,2023
Cote d'Ivoire,CIV,2023,4.87,2023
Croatia,HRV,2023,12.095121,2023
Cuba,CUB,2023,10.631489,2023
Cyprus,CYP,2023,12.557372,2023
Czechia,CZE,2023,12.963182,2023
Democratic Republic of Congo,COD,2023,7.378561,2023
Denmark,DNK,2023,13.027321,2023
Djibouti,DJI,2023,3.9504151,2023
Dominica,DMA,2023,10.12509,2023
Dominican Republic,DOM,2023,9.444526,2023
East Timor,TLS,2023,6.2265806,2023
Ecuador,ECU,2023,8.97,2023
Egypt,EGY,2023,10.13612,2023
El Salvador,SLV,2023,7.3,2023
Equatorial Guinea,GNQ,2023,8.281327,2023
Eritrea,ERI,2023,5.0913644,2023
Estonia,EST,2023,13.562166,2023
Eswatini,SWZ,2023,8.6852,2023
Ethiopia,ETH,2023,2.4025397,2023
Fiji,FJI,2023,10.37097,2023
Finland,FIN,2023,12.979626,2023
France,FRA,2023,11.765668,2023
Gabon,GAB,2023,9.686,2023
Gambia,GMB,2023,4.674727,2023
Georgia,GEO,2023,12.7,2023
Germany,DEU,2023,14.296371,2023
Ghana,GHA,2023,7.10721,2023
Greece,GRC,2023,11.553857,2023
Grenada,GRD,2023,9.4464,2023
Guatemala,GTM,2023,5.8473,2023
Guinea,GIN,2023,2.486339,2023
Guinea-Bissau,GNB,2023,3.673035,2023
Guyana,GUY,2023,8.70243,2023
Haiti,HTI,2023,5.3823,2023
Honduras,HND,2023,7.510229,2023
Hungary,HUN,2023,12.331622,2023
Iceland,ISL,2023,13.908926,2023
India,IND,2023,6.88,2023
Indonesia,IDN,2023,8.697224,2023
Iran,IRN,2023,10.846712,2023
Iraq,IRQ,2023,6.7800465,2023
Ireland,IRL,2023,11.724999,2023
Israel,ISR,2023,13.534595,2023
Italy,ITA,2023,10.828128,2023
Jamaica,JAM,2023,9.95991,2023
Japan,JPN,2023,12.684047,2023
Jordan,JOR,2023,10.24,2023
Kazakhstan,KAZ,2023,12.547174,2023
Kenya,KEN,2023,8.62471,2023
Kiribati,KIR,2023,9.128582,2023
Kuwait,KWT,2023,7.566007,2023
Kyrgyzstan,KGZ,2023,12.065888,2023
Laos,LAO,2023,6.060246,2023
Latvia,LVA,2023,13.40944,2023
Lebanon,LBN,2023,10.37,2023
Lesotho,LSO,2023,7.7298837,2023
Liberia,LBR,2023,6.169892,2023
Libya,LBY,2023,7.7786064,2023
Liechtenstein,LIE,2023,12.40996,2023
Lithuania,LTU,2023,13.610692,2023
Luxembourg,LUX,2023,12.589372,2023
Madagascar,MDG,2023,4.59252,2023
Malawi,MWI,2023,5.24374,2023
Malaysia,MYS,2023,11.09,2023
Maldives,MDV,2023,7.4103727,2023
Mali,MLI,2023,1.63,2023
Malta,MLT,2023,12.420702,2023
Marshall Islands,MHL,2023,11.636664,2023
Mauritania,MRT,2023,4.852026,2023
Mauritius,MUS,2023,10.103328,2023
Mexico,MEX,2023,9.349511,2023
Micronesia (country),FSM,2023,7.332524,2023
Moldova,MDA,2023,11.83,2023
Mongolia,MNG,2023,9.42,2023
Montenegro,MNE,2023,12.773926,2023
Morocco,MAR,2023,6.198,2023
Mozambique,MOZ,2023,4.59049,2023
Myanmar,MMR,2023,6.38,2023
Namibia,NAM,2023,7.2731466,2023
Nauru,NRU,2023,9.448638,2023
Nepal,NPL,2023,4.50373,2023
Netherlands,NLD,2023,12.669947,2023
New Zealand,NZL,2023,12.882998,2023
Nicaragua,NIC,2023,9.93302,2023
Niger,NER,2023,1.4122894,2023
Nigeria,NGA,2023,7.58597,2023
North Macedonia,MKD,2023,10.23,2023
Norway,NOR,2023,13.117962,2023
Oman,OMN,2023,11.89,2023
Pakistan,PAK,2023,4.316987,2023
Palau,PLW,2023,13.299035,2023
Palestine,PSE,2023,10.13,2023
Panama,PAN,2023,10.833751,2023
Papua New Guinea,PNG,2023,4.962531,2023
Paraguay,PRY,2023,8.930654,2023
Peru,PER,2023,10.154652,2023
Philippines,PHL,2023,9.97724,2023
Poland,POL,2023,13.208543,2023
Portugal,PRT,2023,9.703255,2023
Qatar,QAT,2023,10.77,2023
Romania,ROU,2023,11.55,2023
Russia,RUS,2023,12.41,2023
Rwanda,RWA,2023,4.88,2023
Saint Kitts and Nevis,KNA,2023,10.8494005,2023
Saint Lucia,LCA,2023,8.614167,2023
Saint Vincent and the Grenadines,VCT,2023,11.29535,2023
Samoa,WSM,2023,11.332984,2023
San Marino,SMR,2023,11.36,2023
Sao Tome and Principe,STP,2023,5.9875593,2023
Saudi Arabia,SAU,2023,11.606428,2023
Senegal,SEN,2023,2.934554,2023
Serbia,SRB,2023,11.641718,2023
Seychelles,SYC,2023,11.19995,2023
Sierra Leone,SLE,2023,3.5352976,2023
Singapore,SGP,2023,11.99,2023
Slovakia,SVK,2023,13.103204,2023
Slovenia,SVN,2023,12.951202,2023
Solomon Islands,SLB,2023,5.87968,2023
Somalia,SOM,2023,1.9,2023
South Africa,ZAF,2023,11.61,2023
South Korea,KOR,2023,12.7221985,2023
South Sudan,SSD,2023,5.73,2023
Spain,ESP,2023,10.7561245,2023
Sri Lanka,LKA,2023,10.77,2023
Sudan,SDN,2023,3.962,2023
Suriname,SUR,2023,8.42976,2023
Sweden,SWE,2023,12.740326,2023
Switzerland,CHE,2023,13.949121,2023
Syria,SYR,2023,5.93552,2023
Tajikistan,TJK,2023,11.270948,2023
Tanzania,TZA,2023,6.06535,2023
Thailand,THA,2023,9.04,2023
Togo,TGO,2023,5.8611145,2023
