Entity,Code,Year,Total democracy score,World region according to OWID,time,time
Afghanistan,AFG,2024,6,Asia,2023,2024
Albania,ALB,2024,68,Europe,2023,2024
Algeria,DZA,2024,31,Africa,2023,2024
Andorra,AND,2024,93,Europe,2023,2024
Angola,AGO,2024,28,Africa,2023,2024
Antigua and Barbuda,ATG,2024,83,North America,2023,2024
Argentina,ARG,2024,85,South America,2023,2024
Armenia,ARM,2024,54,Asia,2023,2024
Australia,AUS,2024,95,Oceania,2023,2024
Austria,AUT,2024,93,Europe,2023,2024
Azerbaijan,AZE,2024,7,Asia,2023,2024
Bahamas,BHS,2024,90,North America,2023,2024
Bahrain,BHR,2024,12,Asia,2023,2024
Bangladesh,BGD,2024,45,Asia,2023,2024
Barbados,BRB,2024,94,North America,2023,2024
Belarus,BLR,2024,7,Europe,2023,2024
Belgium,BEL,2024,96,Europe,2023,2024
Belize,BLZ,2024,88,North America,2023,2024
Benin,BEN,2024,60,Africa,2023,2024
Bhutan,BTN,2024,68,Asia,2023,2024
Bolivia,BOL,2024,65,South America,2023,2024
Bosnia and Herzegovina,BIH,2024,52,Europe,2023,2024
Botswana,BWA,2024,75,Africa,2023,2024
Brazil,BRA,2024,72,South America,2023,2024
Brunei,BRN,2024,27,Asia,2023,2024
Bulgaria,BGR,2024,77,Europe,2023,2024
Burkina Faso,BFA,2024,25,Africa,2023,2024
Burundi,BDI,2024,15,Africa,2023,2024
Cambodia,KHM,2024,23,Asia,2023,2024
Cameroon,CMR,2024,15,Africa,2023,2024
Canada,CAN,2024,97,North America,2023,2024
Cape Verde,CPV,2024,92,Africa,2023,2024
Central African Republic,CAF,2024,5,Africa,2023,2024
Chad,TCD,2024,15,Africa,2023,2024
Chile,CHL,2024,95,South America,2023,2024
China,CHN,2024,9,Asia,2023,2024
Colombia,COL,2024,70,South America,2023,2024
Comoros,COM,2024,42,Africa,2023,2024
Congo,COG,2024,17,Africa,2023,2024
Costa Rica,CRI,2024,91,North America,2023,2024
Cote d'Ivoire,CIV,2024,49,Africa,2023,2024
Croatia,HRV,2024,82,Europe,2023,2024
Cuba,CUB,2024,10,North America,2023,2024
Cyprus,CYP,2024,91,Europe,2023,2024
Czechia,CZE,2024,95,Europe,2023,2024
Democratic Republic of Congo,COD,2024,18,Africa,2023,2024
Denmark,DNK,2024,97,Europe,2023,2024
Djibouti,DJI,2024,24,Africa,2023,2024
Dominica,DMA,2024,92,North America,2023,2024
Dominican Republic,DOM,2024,68,North America,2023,2024
East Timor,TLS,2024,72,Asia,2023,2024
Ecuador,ECU,2024,65,South America,2023,2024
Egypt,EGY,2024,18,Africa,2023,2024
El Salvador,SLV,2024,47,North America,2023,2024
Equatorial Guinea,GNQ,2024,5,Africa,2023,2024
Eritrea,ERI,2024,3,Africa,2023,2024
Estonia,EST,2024,96,Europe,2023,2024
Eswatini,SWZ,2024,17,Africa,2023,2024
Ethiopia,ETH,2024,18,Africa,2023,2024
Fiji,FJI,2024,69,Oceania,2023,2024
Finland,FIN,2024,100,Europe,2023,2024
France,FRA,2024,89,Europe,2023,2024
Gabon,GAB,2024,21,Africa,2023,2024
Gambia,GMB,2024,50,Africa,2023,2024
Georgia,GEO,2024,55,Asia,2023,2024
Germany,DEU,2024,95,Europe,2023,2024
Ghana,GHA,2024,80,Africa,2023,2024
Greece,GRC,2024,85,Europe,2023,2024
Grenada,GRD,2024,89,North America,2023,2024
Guatemala,GTM,2024,48,North America,2023,2024
Guinea,GIN,2024,30,Africa,2023,2024
