Entity,Code,Year,Life expectancy - Sex: total - Age: 0 - Type: period,time
Afghanistan,AFG,2023,66.0346,2023
Albania,ALB,2023,79.6019,2023
Algeria,DZA,2023,76.261,2023
Andorra,AND,2023,84.0406,2023
Angola,AGO,2023,64.617,2023
Antigua and Barbuda,ATG,2023,77.5976,2023
Argentina,ARG,2023,77.3947,2023
Armenia,ARM,2023,75.6827,2023
Australia,AUS,2023,83.9228,2023
Austria,AUT,2023,81.9559,2023
Azerbaijan,AZE,2023,74.4286,2023
Bahamas,BHS,2023,74.5518,2023
Bahrain,BHR,2023,81.2835,2023
Bangladesh,BGD,2023,74.6723,2023
Barbados,BRB,2023,76.1782,2023
Belarus,BLR,2023,74.4339,2023
Belgium,BEL,2023,82.115,2023
Belize,BLZ,2023,73.5656,2023
Benin,BEN,2023,60.7738,2023
Bhutan,BTN,2023,72.9753,2023
Bolivia,BOL,2023,68.5814,2023
Bosnia and Herzegovina,BIH,2023,77.8504,2023
Botswana,BWA,2023,69.1631,2023
Brazil,BRA,2023,75.8482,2023
Brunei,BRN,2023,75.3266,2023
Bulgaria,BGR,2023,75.6363,2023
Burkina Faso,BFA,2023,61.092,2023
Burundi,BDI,2023,63.6511,2023
Cambodia,KHM,2023,70.6675,2023
Cameroon,CMR,2023,63.6996,2023
Canada,CAN,2023,82.6302,2023
Cape Verde,CPV,2023,76.0587,2023
Central African Republic,CAF,2023,57.4077,2023
Chad,TCD,2023,55.0692,2023
Chile,CHL,2023,81.1667,2023
China,CHN,2023,77.9529,2023
Colombia,COL,2023,77.7246,2023
Comoros,COM,2023,66.7768,2023
Congo,COG,2023,65.772,2023
Costa Rica,CRI,2023,80.7995,2023
Cote d'Ivoire,CIV,2023,61.9438,2023
Croatia,HRV,2023,78.5803,2023
Cuba,CUB,2023,78.0855,2023
Cyprus,CYP,2023,81.648,2023
Czechia,CZE,2023,79.8341,2023
Democratic Republic of Congo,COD,2023,61.895,2023
Denmark,DNK,2023,81.9328,2023
Djibouti,DJI,2023,65.9865,2023
Dominica,DMA,2023,71.1325,2023
Dominican Republic,DOM,2023,73.7201,2023
East Timor,TLS,2023,67.6894,2023
Ecuador,ECU,2023,77.3924,2023
Egypt,EGY,2023,71.6335,2023
El Salvador,SLV,2023,72.0993,2023
Equatorial Guinea,GNQ,2023,63.7071,2023
Eritrea,ERI,2023,68.6239,2023
Estonia,EST,2023,79.1535,2023
Eswatini,SWZ,2023,64.1227,2023
Ethiopia,ETH,2023,67.315,2023
Fiji,FJI,2023,67.3157,2023
Finland,FIN,2023,81.9102,2023
France,FRA,2023,83.3253,2023
French Guiana,GUF,2023,76.9781,2023
Gabon,GAB,2023,68.3367,2023
Gambia,GMB,2023,65.8603,2023
Georgia,GEO,2023,74.4965,2023
Germany,DEU,2023,81.3777,2023
Ghana,GHA,2023,65.4979,2023
Greece,GRC,2023,81.8568,2023
Greenland,GRL,2023,70.055,2023
Grenada,GRD,2023,75.2052,2023
Guatemala,GTM,2023,72.6023,2023
Guinea,GIN,2023,60.7405,2023
Guinea-Bissau,GNB,2023,64.0849,2023
Guyana,GUY,2023,70.1802,2023
Haiti,HTI,2023,64.9356,2023
Honduras,HND,2023,72.8842,2023
Hungary,HUN,2023,77.024,2023
Iceland,ISL,2023,82.6911,2023
India,IND,2023,72.0026,2023
Indonesia,IDN,2023,71.1457,2023
Iran,IRN,2023,77.6545,2023
Iraq,IRQ,2023,72.3242,2023
Ireland,IRL,2023,82.4118,2023
Israel,ISR,2023,82.408,2023
Italy,ITA,2023,83.7157,2023
Jamaica,JAM,2023,71.4789,2023
Japan,JPN,2023,84.7123,2023
Jordan,JOR,2023,77.8145,2023
Kazakhstan,KAZ,2023,74.4021,2023
Kenya,KEN,2023,63.6459,2023
Kiribati,KIR,2023,66.4731,2023
Kosovo,OWID_KOS,2023,78.0326,2023
Kuwait,KWT,2023,80.4047,2023
Kyrgyzstan,KGZ,2023,71.677,2023
Laos,LAO,2023,68.9637,2023
Latvia,LVA,2023,76.1898,2023
Lebanon,LBN,2023,77.817,2023
Lesotho,LSO,2023,57.3749,2023
Liberia,LBR,2023,62.1625,2023
Libya,LBY,2023,69.3389,2023
Liechtenstein,LIE,2023,83.6298,2023
Lithuania,LTU,2023,76.025,2023
Luxembourg,LUX,2023,82.2294,2023
Madagascar,MDG,2023,63.6317,2023
Malawi,MWI,2023,67.3535,2023
Malaysia,MYS,2023,76.6571,2023
Maldives,MDV,2023,81.0412,2023
Mali,MLI,2023,60.4394,2023
Malta,MLT,2023,83.2989,2023
Marshall Islands,MHL,2023,66.9454,2023
Mauritania,MRT,2023,68.4836,2023
Mauritius,MUS,2023,74.9263,2023
Mexico,MEX,2023,75.069,2023
Micronesia (country),FSM,2023,67.1983,2023
Moldova,MDA,2023,71.1985,2023
Monaco,MCO,2023,86.3724,2023
Mongolia,MNG,2023,71.7341,2023
Montenegro,MNE,2023,77.0869,2023
Morocco,MAR,2023,75.3128,2023
Mozambique,MOZ,2023,63.6111,2023
Myanmar,MMR,2023,66.889,2023
Namibia,NAM,2023,67.3848,2023
Nauru,NRU,2023,62.1094,2023
Nepal,NPL,2023,70.3537,2023
Netherlands,NLD,2023,82.1576,2023
New Caledonia,NCL,2023,78.7658,2023
New Zealand,NZL,2023,82.088,2023
Nicaragua,NIC,2023,74.9468,2023
Niger,NER,2023,61.1833,2023
Nigeria,NGA,2023,54.4623,2023
North Korea,PRK,2023,73.6418,2023
North Macedonia,MKD,2023,77.3947,2023
Norway,NOR,2023,83.3078,2023
Oman,OMN,2023,80.0305,2023
Pakistan,PAK,2023,67.649,2023
Palau,PLW,2023,69.269,2023
Palestine,PSE,2023,65.1703,2023
Panama,PAN,2023,79.5937,2023
Papua New Guinea,PNG,2023,66.134,2023
Paraguay,PRY,2023,73.8443,2023
Peru,PER,2023,77.7401,2023
Philippines,PHL,2023,69.8327,2023
Poland,POL,2023,78.6329,2023
Portugal,PRT,2023,82.3599,2023
Puerto Rico,PRI,2023,81.6902,2023
Qatar,QAT,2023,82.368,2023
Romania,ROU,2023,75.9381,2023
Russia,RUS,2023,73.1541,2023
Rwanda,RWA,2023,67.7852,2023
Saint Kitts and Nevis,KNA,2023,72.1447,2023
Saint Lucia,LCA,2023,72.6968,2023
Saint Vincent and the Grenadines,VCT,2023,71.2301,2023
Samoa,WSM,2023,71.6982,2023
San Marino,SMR,2023,85.7062,2023
Sao Tome and Principe,STP,2023,69.7182,2023
Saudi Arabia,SAU,2023,78.7321,2023
Senegal,SEN,2023,68.6829,2023
Serbia,SRB,2023,76.7693,2023
Seychelles,SYC,2023,72.862,2023
Sierra Leone,SLE,2023,61.7858,2023
Singapore,SGP,2023,83.7362,2023
Slovakia,SVK,2023,78.3414,2023
Slovenia,SVN,2023,81.6034,2023
Solomon Islands,SLB,2023,70.5277,2023
Somalia,SOM,2023,58.8158,2023
South Africa,ZAF,2023,66.1387,2023
South Korea,KOR,2023,84.3288,2023
South Sudan,SSD,2023,57.6174,2023
Spain,ESP,2023,83.6703,2023
Sri Lanka,LKA,2023,77.4828,2023
Sudan,SDN,2023,66.331,2023
Suriname,SUR,2023,73.631,2023
Sweden,SWE,2023,83.2624,2023
Switzerland,CHE,2023,83.9536,2023
Syria,SYR,2023,72.1201,2023
Taiwan,TWN,2023,80.5588,2023
Tajikistan,TJK,2023,71.7901,2023
Tanzania,TZA,2023,66.9953,2023
Thailand,THA,2023,76.4115,2023
Togo,TGO,2023,62.7387,2023
Tonga,TON,2023,72.8947,2023
Trinidad and Tobago,TTO,2023,73.4896,2023
Tunisia,TUN,2023,76.5077,2023
Turkey,TUR,2023,77.1557,2023
Turkmenistan,TKM,2023,70.0727,2023
Tuvalu,TUV,2023,67.1049,2023
Uganda,UGA,2023,68.2523,2023
Ukraine,UKR,2023,73.4225,2023
United Arab Emirates,ARE,2023,82.9091,2023
United Kingdom,GBR,2023,81.3015,2023
United States,USA,2023,79.3043,2023
Uruguay,URY,2023,78.1385,2023
Uzbekistan,UZB,2023,72.3884,2023
Vanuatu,VUT,2023,71.4769,2023
Venezuela,VEN,2023,72.5142,2023
Vietnam,VNM,2023,74.5883,2023
Western Sahara,ESH,2023,71.385,2023
Yemen,YEM,2023,69.2952,2023
Zambia,ZMB,2023,66.3487,2023
Zimbabwe,ZWE,2023,62.7748,2023
