Entity,Code,Year,2.1.1 Prevalence of undernourishment | 000000000024000 || Value | 006121 || percent,time
Afghanistan,AFG,2022,30.4,2022
Albania,ALB,2022,4.5,2022
Algeria,DZA,2022,2.5,2022
Angola,AGO,2022,23.2,2022
Argentina,ARG,2022,3.2,2022
Armenia,ARM,2022,2.5,2022
Australia,AUS,2022,2.5,2022
Austria,AUT,2022,2.5,2022
Azerbaijan,AZE,2022,2.5,2022
Bangladesh,BGD,2022,11.9,2022
Barbados,BRB,2022,3.5,2022
Belarus,BLR,2022,2.5,2022
Belgium,BEL,2022,2.5,2022
Belize,BLZ,2022,4.6,2022
Benin,BEN,2022,10.3,2022
Bolivia,BOL,2022,23,2022
Bosnia and Herzegovina,BIH,2022,2.5,2022
Botswana,BWA,2022,24.3,2022
Brazil,BRA,2022,3.9,2022
Bulgaria,BGR,2022,2.5,2022
Burkina Faso,BFA,2022,15.4,2022
Cambodia,KHM,2022,4.6,2022
Cameroon,CMR,2022,5.7,2022
Canada,CAN,2022,2.5,2022
Cape Verde,CPV,2022,12.6,2022
Central African Republic,CAF,2022,23.5,2022
Chad,TCD,2022,35.1,2022
Chile,CHL,2022,2.5,2022
China,CHN,2022,2.5,2022
Colombia,COL,2022,4.2,2022
Comoros,COM,2022,16.9,2022
Congo,COG,2022,26.8,2022
Costa Rica,CRI,2022,2.5,2022
Cote d'Ivoire,CIV,2022,9.6,2022
Croatia,HRV,2022,2.5,2022
Cuba,CUB,2022,2.5,2022
Cyprus,CYP,2022,2.5,2022
Czechia,CZE,2022,2.5,2022
Democratic Republic of Congo,COD,2022,37,2022
Denmark,DNK,2022,2.5,2022
Djibouti,DJI,2022,12.9,2022
Dominica,DMA,2022,13.4,2022
Dominican Republic,DOM,2022,4.6,2022
East Timor,TLS,2022,15.9,2022
Ecuador,ECU,2022,13.9,2022
Egypt,EGY,2022,8.5,2022
El Salvador,SLV,2022,6.8,2022
Estonia,EST,2022,2.5,2022
Eswatini,SWZ,2022,12.4,2022
Ethiopia,ETH,2022,22.2,2022
Fiji,FJI,2022,7.8,2022
Finland,FIN,2022,2.5,2022
France,FRA,2022,2.5,2022
Gabon,GAB,2022,20.1,2022
Gambia,GMB,2022,20.5,2022
Georgia,GEO,2022,4,2022
Germany,DEU,2022,2.5,2022
Ghana,GHA,2022,6.2,2022
Greece,GRC,2022,2.5,2022
Guatemala,GTM,2022,12.6,2022
Guinea,GIN,2022,10.3,2022
Guinea-Bissau,GNB,2022,32.2,2022
Guyana,GUY,2022,2.5,2022
Haiti,HTI,2022,50.4,2022
Honduras,HND,2022,20.4,2022
Hungary,HUN,2022,2.5,2022
Iceland,ISL,2022,2.5,2022
India,IND,2022,13.7,2022
Indonesia,IDN,2022,7.2,2022
Iran,IRN,2022,6.5,2022
Iraq,IRQ,2022,16.1,2022
Ireland,IRL,2022,2.5,2022
Israel,ISR,2022,2.5,2022
Italy,ITA,2022,2.5,2022
Jamaica,JAM,2022,7.3,2022
Japan,JPN,2022,3.4,2022
Jordan,JOR,2022,17.9,2022
Kazakhstan,KAZ,2022,2.5,2022
Kenya,KEN,2022,34.5,2022
Kiribati,KIR,2022,3.7,2022
Kuwait,KWT,2022,2.5,2022
Kyrgyzstan,KGZ,2022,6.1,2022
Laos,LAO,2022,5.4,2022
Latvia,LVA,2022,2.5,2022
Lebanon,LBN,2022,9.6,2022
Liberia,LBR,2022,38.4,2022
Libya,LBY,2022,11.4,2022
Lithuania,LTU,2022,2.5,2022
Luxembourg,LUX,2022,2.5,2022
Madagascar,MDG,2022,39.7,2022
Malawi,MWI,2022,19.9,2022
Malaysia,MYS,2022,2.5,2022
Mali,MLI,2022,9.6,2022
Malta,MLT,2022,2.5,2022
Mauritania,MRT,2022,9.3,2022
Mauritius,MUS,2022,5.9,2022
Mexico,MEX,2022,3.1,2022
Moldova,MDA,2022,2.5,2022
Mongolia,MNG,2022,2.5,2022
Montenegro,MNE,2022,2.5,2022
Morocco,MAR,2022,6.9,2022
Mozambique,MOZ,2022,24.8,2022
Myanmar,MMR,2022,5.3,2022
Namibia,NAM,2022,22.2,2022
Nepal,NPL,2022,5.7,2022
Netherlands,NLD,2022,2.5,2022
New Caledonia,NCL,2022,5.6,2022
New Zealand,NZL,2022,2.5,2022
Nicaragua,NIC,2022,19.6,2022
Niger,NER,2022,13.3,2022
Nigeria,NGA,2022,18,2022
North Korea,,,45.3,2018
North Macedonia,MKD,2022,2.5,2022
Norway,NOR,2022,2.5,2022
Oman,OMN,2022,5.7,2022
Pakistan,PAK,2022,20.7,2022
Panama,PAN,2022,5.6,2022
Papua New Guinea,PNG,2022,27.7,2022
Paraguay,PRY,2022,4.5,2022
Peru,PER,2022,7,2022
Philippines,PHL,2022,5.9,2022
Poland,POL,2022,2.5,2022
Portugal,PRT,2022,2.5,2022
Romania,ROU,2022,2.5,2022
Russia,RUS,2022,2.5,2022
Rwanda,RWA,2022,31.4,2022
Saint Vincent and the Grenadines,VCT,2022,4.8,2022
Samoa,WSM,2022,5.4,2022
Sao Tome and Principe,STP,2022,16.4,2022
Saudi Arabia,SAU,2022,3,2022
Senegal,SEN,2022,4.6,2022
Serbia,SRB,2022,2.5,2022
Seychelles,SYC,2022,2.5,2022
Sierra Leone,SLE,2022,28.4,2022
