Entity,Code,Year,"3.9.2 - Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene from diarrhoea, intestinal nematode infections, malnutrition and acute respiratory infections (deaths per 100,000 population) - SH_STA_WASHARI",time
Afghanistan,AFG,2019,16.64,2019
Algeria,DZA,2019,4.05,2019
Angola,AGO,2019,48.85,2019
Antigua and Barbuda,ATG,2019,2.47,2019
Argentina,ARG,2019,11.45,2019
Armenia,ARM,2019,5.83,2019
Australia,AUS,2019,1.87,2019
Austria,AUT,2019,1.98,2019
Azerbaijan,AZE,2019,3.64,2019
Bahamas,BHS,2019,2.6,2019
Bahrain,BHR,2019,0.78,2019
Bangladesh,BGD,2019,18.23,2019
Barbados,BRB,2019,7.71,2019
Belarus,BLR,2019,1.62,2019
Belgium,BEL,2019,5.31,2019
Belize,BLZ,2019,4.31,2019
Benin,BEN,2019,60.18,2019
Bhutan,BTN,2019,15.67,2019
Bolivia,BOL,2019,14.27,2019
Bosnia and Herzegovina,BIH,2019,1.93,2019
Botswana,BWA,2019,26.85,2019
Brazil,BRA,2019,6.61,2019
Brunei,BRN,2019,1.68,2019
Bulgaria,BGR,2019,2.89,2019
Burkina Faso,BFA,2019,60.91,2019
Burundi,BDI,2019,53.25,2019
Cambodia,KHM,2019,17.13,2019
Cameroon,CMR,2019,47.26,2019
Canada,CAN,2019,2.29,2019
Cape Verde,CPV,2019,12.11,2019
Central African Republic,CAF,2019,97.01,2019
Chad,TCD,2019,99.2,2019
Chile,CHL,2019,2.26,2019
China,CHN,2019,2.2,2019
Colombia,COL,2019,3.39,2019
Comoros,COM,2019,43.85,2019
Congo,COG,2019,26.38,2019
Costa Rica,CRI,2019,2.87,2019
Cote d'Ivoire,CIV,2019,46.95,2019
Croatia,HRV,2019,2.69,2019
Cuba,CUB,2019,9.73,2019
Cyprus,CYP,2019,1.6,2019
Czechia,CZE,2019,4.07,2019
Democratic Republic of Congo,COD,2019,52.28,2019
Denmark,DNK,2019,4.14,2019
Djibouti,DJI,2019,37.57,2019
Dominican Republic,DOM,2019,5.78,2019
East Timor,TLS,2019,20.43,2019
Ecuador,ECU,2019,4.69,2019
Egypt,EGY,2019,4.81,2019
El Salvador,SLV,2019,6.13,2019
Equatorial Guinea,GNQ,2019,29.73,2019
Eritrea,ERI,2019,66.53,2019
Estonia,EST,2019,2.59,2019
Eswatini,SWZ,2019,46.45,2019
Ethiopia,ETH,2019,40.68,2019
Fiji,FJI,2019,10.8,2019
Finland,FIN,2019,0.79,2019
