Code,Entity,Instances,airPollution.csv,co2PerCapita.csv,debtToGdp.csv,democracyIndex.csv,drugUse.csv,education.csv,fertility.csv,gdpPerCapita.csv,happiness.csv,lifeExpectancy.csv,literacy.csv,smoking.csv,territoryControl.csv,topOneIncome.csv,topTenIncome.csv,waterSanitationHygiene.csv,womensCivilRights.csv
AFG,Afghanistan,17,62.48616,0.25384834,8.8,0.25,1.37,2.51479,4.84,1357.9878,1.364,66.0346,37,22.7,84.5,15.16,40.27,16.64,0.003
ALB,Albania,16,16.27997,1.5919901,54.1,6.2,0.59,10.175311,1.348,12978.101,5.411,79.6019,98.81623,21.9,94.75,9.17,34.35,,0.882
DZA,Algeria,16,22.68313,4.233817,54,3.55,1.3,7.416387,2.766,13506.444,5.571,76.261,,21.2,100,22.64,48.76,4.05,0.634
AND,Andorra,10,8.52423,5.1816607,31.7,,0.09,11.61,1.082,,,84.0406,,36.3,,11.5,35.670002,,
AGO,Angola,16,27.16477,0.5894967,62.4,4.05,0.29,5.956173,5.124,6118.905,3.795,64.617,66.23586,,97.2,25.86,57.72,48.85,0.568
ATG,Antigua and Barbuda,10,8.29693,7.092406,65.7,,0,11.6475,1.578,,,77.5976,,,,21.199999,48.57,2.47,
ARG,Argentina,16,12.04087,3.7434063,78.8,6.51,0.07,11.184582,1.5,18292.318,6.397,77.3947,,23.8,100,12.36,43.37,11.45,0.832
ARM,Armenia,17,34.12674,2.498691,53.4,5.35,0.35,11.344978,1.714,13837.577,5.494,75.6827,99.825,24.9,96.5,15.809999,39.64,5.83,0.847
AUS,Australia,16,8.93323,14.477199,51,8.85,4.93,12.87,1.638,52049.43,6.974,83.9228,,13.1,91.429,9.969999,32.97,1.87,0.875
AUT,Austria,16,11.50796,6.180112,82,8.28,2.11,12.361465,1.317,43792.855,6.81,81.9559,,24.9,99.833,11.35,34.44,1.98,0.874
AZE,Azerbaijan,17,24.64286,3.8533201,22.4,2.8,0.21,11.07,1.67,17682.94,4.875,74.4286,100,19.6,98.667,13.45,36.75,3.64,0.496
BHS,Bahamas,11,5.19903,7.64968,74.1,,0.32,12.814419,1.373,,,74.5518,,11.3,,17.87,51.81,2.6,
BHR,Bahrain,17,51.81722,24.270082,142.5,2.45,0.32,11.13,1.824,38651.6,6.03,81.2835,98,15,87.25,25.189999,57.010002,0.78,0.489
BGD,Bangladesh,17,45.98906,0.6240862,40.3,4.44,0.36,6.79,2.163,4925.721,3.851,74.6723,79,32.9,100,16.01,41.760002,18.23,0.59
BRB,Barbados,14,9.78987,4.8328743,99.8,,0.13,9.928357,1.708,11545.848,,76.1782,,7,100,21.199999,48.57,7.71,0.822
BLR,Belarus,17,15.48201,6.163221,35.8,1.99,2.13,12.335373,1.208,18699.799,5.821,74.4339,100,30.1,100,9.25,31.55,1.62,0.539
BEL,Belgium,16,11.25612,7.2798314,107.5,7.64,1.45,12.689651,1.379,41872.395,6.91,82.115,,26.7,99.909,8.45,32.370003,5.31,0.972
BLZ,Belize,13,10.50946,1.9085852,64.7,,0.1,8.76229,2.007,,6.711,73.5656,90.91604,8.8,,17.87,51.81,4.31,
BEN,Benin,17,31.51453,0.4194466,50.7,4.44,0.03,3.1942,4.556,2477.0903,4.357,60.7738,51.37877,6.3,90,12.639999,43,60.18,0.904
BTN,Bhutan,16,26.09506,2.0939395,105.6,5.65,0.4,5.8357944,1.462,,5.082,72.9753,67,18.7,93,13.959999,41.57,15.67,0.744
BOL,Bolivia,17,25.23416,2.3127308,93.7,4.26,0.38,10.021223,2.547,6481.3906,5.868,68.5814,94,12.4,83.8,17.87,51.81,14.27,0.68
BIH,Bosnia and Herzegovina,17,26.19402,6.1391783,30.6,5.06,0.14,10.97,1.486,12142.863,6.136,77.8504,97,36.2,87.545,9.38,34.03,1.93,0.716
BWA,Botswana,16,12.8184,2.9596071,38.8,7.63,0.4,10.478,2.732,16351.91,3.438,69.1631,,18.7,98.333,22.67,58.929996,26.85,0.778
BRA,Brazil,17,10.94008,2.2783718,91.4,6.49,0.63,8.425372,1.619,14640.076,6.494,75.8482,93,12.2,90.125,21.13,59.210003,6.61,0.782
BRN,Brunei,11,6.86475,26.046202,2.3,,0.18,9.282,1.747,,,75.3266,,16.4,,12.93,35.73,1.68,
BGR,Bulgaria,16,17.29031,4.6793866,28.4,6.34,0.31,11.454531,1.749,20592.455,5.554,75.6363,,39.5,99.909,17.06,41.56,2.89,0.812
BFA,Burkina Faso,17,40.74491,0.27634817,53.2,2.55,0.03,2.26655,4.186,1704.966,4.383,61.092,40.92361,14.3,82.5,14.5199995,46.86,60.91,0.575
BDI,Burundi,17,27.99587,0.065253265,40.3,2.13,0.63,3.4739356,4.878,717.22845,3.775,63.6511,68,11.2,94.8,14.280001,46.44,53.25,0.451
KHM,Cambodia,17,17.80251,1.2405994,27.8,2.94,0.15,5.1971,2.579,3944.2468,4.341,70.6675,71.92725,17.2,90,19.04,46.01,17.13,0.34
CMR,Cameroon,17,56.36692,0.33071235,37.9,2.56,0.03,6.5741806,4.322,2812.2148,4.887,63.6996,72.54713,6.5,90.375,13.13,47.13,47.26,0.732
CAN,Canada,16,6.38944,13.419917,113.9,8.69,19.22,13.87,1.349,45529.645,6.803,82.6302,,12,97,11.91,36.469997,2.29,0.8
