Code,Rank,True Rank,Entity,Instances,Accuracy,Value,airPollution.csv,co2PerCapita.csv,debtToGdp.csv,democracyIndex.csv,drugUse.csv,education.csv,fertility.csv,gdpPerCapita.csv,happiness.csv,lifeExpectancy.csv,literacy.csv,smoking.csv,territoryControl.csv,topOneIncome.csv,topTenIncome.csv,waterSanitationHygiene.csv,womensCivilRights.csv,corruption.csv,freedom.csv,undernourishment.csv
AFG,169,200,Afghanistan,20,100.0,29.166641723512836,62.48616,0.25384834,8.8,0.25,1.37,2.51479,4.84,1357.9878,1.364,66.0346,37,22.7,84.5,15.16,40.27,16.64,0.003,0.674,6,30.4
ALB,52,72,Albania,19,95.0,68.94438599731996,16.27997,1.5919901,54.1,6.2,0.59,10.175311,1.348,12978.101,5.411,79.6019,98.81623,21.9,94.75,9.17,34.35,,0.882,0.626,68,4.5
DZA,97,124,Algeria,20,100.0,57.7062954528785,22.68313,4.233817,54,3.55,1.3,7.416387,2.766,13506.444,5.571,76.261,83,21.2,100,22.64,48.76,4.05,0.634,0.668,31,2.5
AND,28,33,Andorra,12,60.0,78.16791908142642,8.52423,5.1816607,31.7,,0.09,11.61,1.082,,,84.0406,100,36.3,,11.5,35.670002,,,,93,
AGO,154,184,Angola,19,95.0,37.651184849385324,27.16477,0.5894967,62.4,4.05,0.29,5.956173,5.124,6118.905,3.795,64.617,70,,97.2,25.86,57.72,48.85,0.568,0.549,28,23.2
ATG,33,43,Antigua and Barbuda,12,60.0,76.3242260559247,8.29693,7.092406,65.7,,0,11.6475,1.578,,,77.5976,99,,,21.199999,48.57,2.47,,,83,
ARG,45,59,Argentina,20,100.0,73.15810793799369,12.04087,3.7434063,78.8,6.51,0.07,11.184582,1.5,18292.318,6.397,77.3947,100,23.8,100,12.36,43.37,11.45,0.832,0.387,85,3.2
ARM,51,71,Armenia,20,100.0,69.11342510287808,34.12674,2.498691,53.4,5.35,0.35,11.344978,1.714,13837.577,5.494,75.6827,99.825,24.9,96.5,15.809999,39.64,5.83,0.847,0.374,54,2.5
AUS,14,17,Australia,20,100.0,82.15003009644954,8.93323,14.477199,51,8.85,4.93,12.87,1.638,52049.43,6.974,83.9228,100,13.1,91.429,9.969999,32.97,1.87,0.875,0.027,95,2.5
AUT,18,21,Austria,20,100.0,80.1764042539865,11.50796,6.180112,82,8.28,2.11,12.361465,1.317,43792.855,6.81,81.9559,100,24.9,99.833,11.35,34.44,1.98,0.874,0.108,93,2.5
AZE,77,103,Azerbaijan,20,100.0,62.0752468017336,24.64286,3.8533201,22.4,2.8,0.21,11.07,1.67,17682.94,4.875,74.4286,100,19.6,98.667,13.45,36.75,3.64,0.496,0.902,7,2.5
BHS,30,37,Bahamas,13,65.0,77.03410487292727,5.19903,7.64968,74.1,,0.32,12.814419,1.373,,,74.5518,96,11.3,,17.87,51.81,2.6,,,90,
BHR,112,141,Bahrain,19,95.0,52.73629061424984,51.81722,24.270082,142.5,2.45,0.32,11.13,1.824,38651.6,6.03,81.2835,98,15,87.25,25.189999,57.010002,0.78,0.489,0.505,12,
BGD,118,147,Bangladesh,20,100.0,50.12243229052551,45.98906,0.6240862,40.3,4.44,0.36,6.79,2.163,4925.721,3.851,74.6723,79,32.9,100,16.01,41.760002,18.23,0.59,0.908,45,11.9
BRB,30,35,Barbados,18,90.0,77.65689576163034,9.78987,4.8328743,99.8,,0.13,9.928357,1.708,11545.848,,76.1782,100,7,100,21.199999,48.57,7.71,0.822,0.07,94,3.5
BLR,75,101,Belarus,20,100.0,62.74764853102421,15.48201,6.163221,35.8,1.99,2.13,12.335373,1.208,18699.799,5.821,74.4339,100,30.1,100,9.25,31.55,1.62,0.539,0.419,7,2.5
BEL,17,20,Belgium,20,100.0,81.61014969267215,11.25612,7.2798314,107.5,7.64,1.45,12.689651,1.379,41872.395,6.91,82.115,100,26.7,99.909,8.45,32.370003,5.31,0.972,0.031,96,2.5
BLZ,30,36,Belize,15,75.0,77.2515476474077,10.50946,1.9085852,64.7,,0.1,8.76229,2.007,,6.711,73.5656,90.91604,8.8,,17.87,51.81,4.31,,,88,4.6
BEN,127,156,Benin,20,100.0,47.41608824665019,31.51453,0.4194466,50.7,4.44,0.03,3.1942,4.556,2477.0903,4.357,60.7738,51.37877,6.3,90,12.639999,43,60.18,0.904,0.187,60,10.3
BTN,95,122,Bhutan,18,90.0,57.89852439980632,26.09506,2.0939395,105.6,5.65,0.4,5.8357944,1.462,,5.082,72.9753,67,18.7,93,13.959999,41.57,15.67,0.744,0.155,68,
BOL,106,134,Bolivia,20,100.0,54.38649010867037,25.23416,2.3127308,93.7,4.26,0.38,10.021223,2.547,6481.3906,5.868,68.5814,94,12.4,83.8,17.87,51.81,14.27,0.68,0.655,65,23
BIH,64,87,Bosnia and Herzegovina,20,100.0,65.95914768748796,26.19402,6.1391783,30.6,5.06,0.14,10.97,1.486,12142.863,6.136,77.8504,100,36.2,87.545,9.38,34.03,1.93,0.716,0.763,52,2.5
BWA,92,119,Botswana,20,100.0,58.338191220859656,12.8184,2.9596071,38.8,7.63,0.4,10.478,2.732,16351.91,3.438,69.1631,89,18.7,98.333,22.67,58.929996,26.85,0.778,0.24,75,24.3
BRA,62,84,Brazil,20,100.0,66.51127059510465,10.94008,2.2783718,91.4,6.49,0.63,8.425372,1.619,14640.076,6.494,75.8482,93,12.2,90.125,21.13,59.210003,6.61,0.782,0.436,72,3.9
BRN,58,80,Brunei,13,65.0,67.70660602666531,6.86475,26.046202,2.3,,0.18,9.282,1.747,,,75.3266,98,16.4,,12.93,35.73,1.68,,,27,
BGR,46,64,Bulgaria,20,100.0,71.51472255263914,17.29031,4.6793866,28.4,6.34,0.31,11.454531,1.749,20592.455,5.554,75.6363,99,39.5,99.909,17.06,41.56,2.89,0.812,0.578,77,2.5
